Gene_Id_189,ABEN_Rep1,ABEN_Rep2,ABEN_Rep3,EN_Rep1,EN_Rep2,EN_Rep3
Glyma01g08980,0.00506558,0.03831,0.00244085,0.00274305,0,0.00306397
Glyma01g09000,0.0692317,0.0788168,0.02465,0.0642659,0.035853,0.0486464
Glyma01g09010,0,0.000275936,0.00181814,0,0,0.000389128
Glyma01g09040,0.067483,0.087307,0.136658,0.0271802,0.0338249,0.0623265
Glyma01g09066,6.56658,10.6585,13.7024,3.533,9.73185,7.31942
Glyma01g09093,0,0,0,0,0,0
Glyma01g09120,51.1448,57.6718,24.2789,62.4375,48.0154,25.1045
Glyma01g09160,19.8776,19.9584,26.4496,11.8064,8.80248,12.9701
Glyma01g09190,0,0.0315293,0,0.608978,0.399921,0.340113
Glyma01g09205,0,0.179775,0,0,0,0.320258
Glyma01g09220,14.5549,12.6528,17.1657,9.87088,10.0038,11.1749
Glyma01g09251,0,0,0,0,0,0
Glyma01g09280,0.768865,0.219515,0.38914,0.509785,0.25125,0.294942
Glyma01g09290,4.37601,4.48317,4.28294,10.3243,9.50297,7.94774
Glyma01g09310,8.28288,7.48252,6.67523,22.9704,22.2576,23.4243
Glyma01g09340,0,0.181324,0,0,0,0
Glyma01g09350,0,0,0,0,0,0
Glyma01g09360,0,0,0.0529743,0.128101,0,0.0476962
Glyma01g09381,0.102358,0.165215,0.113596,0.270191,0.248332,0.230057
Glyma01g09400,2.94607,2.78481,4.71876,3.25312,4.5688,5.28041
Glyma01g09410,2.84748,3.16392,4.92041,4.50425,9.30628,7.70933
Glyma01g09420,0,0.85806,0.00100813,2.86455,1.23187,0.84808
Glyma01g09460,7.58748,12.3342,15.6441,6.12424,9.57216,8.96493
Glyma01g09481,0.558304,0.178498,0.248205,0.316333,0.909222,0.550299
Glyma01g09500,0.0187423,0,0.066783,20.1992,0.245493,0.358506
Glyma01g09510,0,0.360273,0.0456419,0.074605,0.0859343,0.0399562
Glyma01g09515,0,0.190426,0.0711888,0.0937432,0,0
Glyma01g09520,0.378801,0,1.02368,0.474528,0.268936,0.000258478
Glyma01g09530,0.81677,0.612561,1.52739,1.80341,0.741516,1.13394
Glyma01g09540,0.537423,0.354631,0.820511,0.740282,1.76684,0.633038
Glyma01g09581,0.153522,0,0,0,0,0.0768101
Glyma01g09620,0.469989,0.15949,0.232786,0.110068,0.279132,0.177098
